#{"t_start": 1585868685.0776074, "env_id": "SatelliteEnvironment-v0"}
r,l,t
-628.874923,200,236.235543
-686.95167,200,237.129033
-513.602332,200,238.062497
-658.965539,200,239.003921
-675.045629,200,239.961386
-662.556505,200,240.896836
-514.630244,200,241.827316
-1469.102946,200,242.754783
-601.780511,200,243.737204
-660.472457,200,244.798594
-664.315787,200,245.830338
-600.912697,200,247.023212
-622.426262,200,248.408417
-600.50281,200,249.630264
-672.043979,200,250.8572
-690.751571,200,252.018145
-264.119369,200,253.183644
-784.637835,200,254.253581
-771.974354,200,255.316773
-543.03727,200,256.342256
-386.328236,200,257.305356
-632.577532,200,258.340581
-587.874465,200,259.32852
-544.229098,200,260.433682
-633.952173,200,261.400736
-538.337403,200,262.400171
-614.161226,200,263.715714
-675.64399,200,264.919607
-681.016112,200,266.3843
-434.383301,200,267.668458
-749.141709,200,269.189478
-578.052309,200,270.659783
-755.461568,200,271.917095
-542.87855,200,273.080237
-610.221338,200,274.326209
-661.933387,200,275.380361
-588.315863,200,276.421814
-601.465594,200,277.459791
-664.307341,200,278.514361
-19.042441,200,279.589442
-679.777792,200,280.637474
-818.126868,200,281.747604
-1083.88446,200,282.831024
-633.540492,200,283.918103
-638.878807,200,285.05503
-772.121785,200,286.123115
-772.220434,200,287.45383
-665.063231,200,288.557205
-723.280433,200,289.814142
-592.860471,200,291.247773
-651.225827,200,292.445518
-553.347594,200,293.547925
-778.822281,200,294.611669
-332.340699,200,295.678234
-724.108392,200,297.854094
-714.896632,200,299.729018
-656.384662,200,300.966305
-817.029695,200,302.307819
-65.016133,200,303.589708
-612.495134,200,304.953756
-726.552115,200,306.413341
-673.635916,200,307.765651
-679.961772,200,309.009542
-788.381833,200,310.265479
-659.660083,200,311.490381
-55.80248,200,312.678277
-585.203568,200,313.926852
-501.64254,200,315.110798
-252.835243,200,316.383418
-660.794505,200,317.66377
-744.321328,200,318.944421
-583.235439,200,320.270153
-1475.741348,200,321.615381
-672.770133,200,322.864431
-677.80099,200,324.096173
-725.164735,200,325.327275
-629.449175,200,326.408033
-666.655886,200,327.6823
-668.995523,200,328.882359
-693.05585,200,330.179381
-754.153347,200,331.790217
-1446.780198,200,333.103181
-740.599894,200,334.496185
-629.511676,200,335.845572
-682.751956,200,337.177519
-601.733998,200,338.152831
-534.299204,200,339.177562
-673.900682,200,340.447214
-995.9121,200,341.520704
-718.066392,200,342.571785
-669.412567,200,343.705105
-719.377659,200,344.666031
-572.22671,200,345.694653
-712.369906,200,346.786857
-618.727666,200,347.863338
-673.827916,200,348.870761
-670.180219,200,349.908166
-680.410832,200,350.883607
-804.846588,200,351.873037
-510.586811,200,352.861469
-664.713098,200,353.850466
-704.705802,200,354.838505
-752.138245,200,355.825718
-800.573824,200,356.813138
-180.030666,200,357.820557
-586.046254,200,358.798998
-688.439995,200,359.927347
-397.882823,200,360.933285
-800.965702,200,361.90771
-1057.559063,200,363.095028
-533.789606,200,364.153423
-584.783217,200,365.408701
-705.989575,200,366.502088
-676.073352,200,367.728368
-608.088458,200,369.042614
-725.958804,200,370.380847
-672.411263,200,371.609142
-714.536156,200,372.70751
-739.28841,200,373.823871
-694.325777,200,374.983204
-659.546418,200,376.394393
-554.596358,200,377.628685
-628.036262,200,378.766032
-723.748377,200,379.903379
-700.693334,200,381.048722
-649.623298,200,382.255028
-636.931597,200,383.415364
-543.722802,200,384.539718
-425.407582,200,385.596125
-711.166321,200,386.557788
-248.885864,200,387.503246
-53.453069,200,388.449716
-122.115646,200,389.389163
-638.414244,200,390.326638
-631.795883,200,391.286073
-672.306625,200,392.22155
-690.994956,200,393.171006
-320.886153,200,394.115449
-121.754084,200,395.10688
-651.478903,200,396.075337
-666.734522,200,397.033774
-742.687247,200,398.04619
-588.91171,200,399.043618
-648.534244,200,400.025057
-686.258226,200,400.984506
-399.338117,200,401.953948
-125.506681,200,402.89942
-625.956179,200,403.863853
-557.337672,200,404.805313
-727.530876,200,405.771757
-698.210201,200,406.7502
-498.304402,200,407.705647
-623.368663,200,408.658113
-587.000756,200,409.602001
-578.549071,200,410.567447
-929.888399,200,411.510905
-878.982501,200,412.46637
-826.189142,200,413.420814
-729.186773,200,414.405242
-692.966585,200,415.570573
-636.694588,200,416.54303
-678.687425,200,417.533585
-344.545103,200,418.487633
-653.439783,200,419.441071
-628.961103,200,420.399521
-390.386397,200,421.343979
-679.180033,200,422.297429
-615.478479,200,423.260892
-143.028493,200,424.230335
-680.578407,200,425.212772
-607.728909,200,426.171208
-674.076862,200,427.139651
-376.732763,200,428.166062
-194.896709,200,429.101526
-309.105292,200,430.071014
-743.546766,200,431.028449
-598.175341,200,431.980919
-502.827299,200,432.931794
-596.85439,200,433.877266
-247.777411,200,434.840699
-598.956751,200,435.793153
-512.455787,200,436.735284
-660.19101,200,437.673745
-760.026928,200,438.612856
-469.509521,200,439.582478
-694.259705,200,440.532849
-719.177106,200,441.485302
-690.525103,200,442.434744
-696.060192,200,443.3822
-539.835102,200,444.347659
-1263.774057,200,445.299791
-985.124301,200,446.254243
-632.251778,200,447.198591
-729.769912,200,448.143036
-1490.087866,200,449.113458
-655.23001,200,450.071908
-683.601634,200,451.030358
-736.616631,200,451.983811
-698.609454,200,452.942247
-632.01063,200,453.907693
-578.812345,200,454.848151
-1147.889464,200,455.791611
-617.710203,200,456.733071
-751.639627,200,457.678629
-532.555785,200,458.644074
-646.531094,200,459.597527
-139.790283,200,460.565971
-630.902919,200,461.514502
-632.319515,200,462.469823
-683.312143,200,463.699133
-628.490476,200,464.720548
-670.871552,200,465.719556
-682.697628,200,466.830905
-671.649423,200,467.806344
-581.968719,200,468.81776
-703.54104,200,469.762235
-685.550094,200,470.725682
-605.224386,200,471.696111
-653.271994,200,472.672548
-795.47646,200,473.651002
-655.012584,200,474.613436
-655.618923,200,475.579879
-683.371698,200,476.535332
-604.878316,200,477.4868
-591.494539,200,478.458242
-1325.700227,200,479.414692
-149.208956,200,480.375125
-670.046491,200,481.340571
-651.880737,200,482.30402
-713.286296,200,483.304447
-724.490776,200,484.282884
-615.608544,200,485.246344
-719.832662,200,486.213789
-605.677557,200,487.171742
-575.058721,200,488.154351
-686.528271,200,489.127805
-1057.932296,200,490.101233
-702.533781,200,491.061682
-511.462932,200,492.018147
-595.250494,200,493.003566
-713.010039,200,493.969026
-592.94063,200,494.941452
-759.896061,200,495.925888
-355.949697,200,496.872346
-615.443574,200,497.847785
-662.511207,200,498.808247
-715.496555,200,499.772693
-620.505108,200,500.746121
-588.882206,200,501.703103
-661.218061,200,502.673135
-743.841302,200,503.655574
-1446.10021,200,504.646004
-554.461072,200,505.663419
-706.886551,200,506.656864
-659.074474,200,507.698252
-808.025861,200,508.662699
-68.119345,200,509.709096
-471.361131,200,510.7535
-548.634651,200,511.74393
